"Contract Address","Block Hash","Block Number","Pool","Master Vault Balances","Staked Balance","Pool Token Supply"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x3d82b6ab81e1f1cbb60018fcef8be881801e80fc3c07dec3369629bb6958734b",15011681,"LINK","3826521953460963807802032","7141665796575105160906021","7116733335267434311864111"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x089bc54af68b973717d3041a496b5c6fe28c1da522bf5e1aacc50527ef61e1c4",15010749,"DAI","10863366113912683265580320","12041558768894902607611293","12005594692879056533536034"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x00b45fd793ac0d5dbe6dabdbcb2c450c519abea84bf021e13b62ec3a1c64012f",14992890,"INDEX","19843272725236996965230","23016072496752981945479","22835300199793940956742"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x6aea4e19aaa14d8e57a15ec41a92d22fca52a99cfefbc61a8fad2285b43b5013",15008848,"wBTC","13197525967","37045410070","37043666729"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x6927e0d414fc5be6227327295d2d68ed3c848ca21bff667537660266ae08ed61",15008290,"TRAC","4106647784006478259315838","4140777498546119689256570","4139497749094727610989106"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x28f9a8e7e5f394573ceb194590f15bbf804d4349e77ec8ac2995d7f90b290e63",14993434,"MTA","503943470259205681526","503952129809123845855","503952129809123845855"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0xd50d45af9a1d002ca804b8b5d7f0dc9795200245c190916d1f967971ba2b0ebb",15005771,"YFI","12493340228645568154","12493576922183819931","12493576922183819931"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0xf2a88bff4fc5fc32f2a51da558e14b83c5f337a376655cb317b3b0fbcfbf2e8e",15004243,"vBNT","5257046930609961725355930","5038113056055254850339633","5028814194850841306469653"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x680a6b0105c31b92c312a6b31596dc7fff791ee710d274ac7a7196cbc9a4c6dc",15008996,"AMP","14201981528092979580172071","14752306177005884855489299","14743361170420659762028969"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x7e39aa2dc3b44ddf7d90dac5e0c4067810772f6de0cb3e21dad65e341739880c",15011215,"ETH","20589843715817097395171","35562751311436899145900","35502226493317964048377"
