"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","85219110.7687476","45111777.1181368","44850703.9160136","-","-","2729244.9245339","2737962.54746766","45111822.6543668","-","45111822.6543668","0.00000","-",0.492211,"-","40107288.1143808","19741248.39"
"LINK","2554474.48608498","4587107.21050307","4569957.26857624","32984850.4616899","2554474.48608498","1589328.13058277","1594508.02199618","4587107.21050307","2554474.48608498","-","0.55688","-2032632.72441808",6.31,"-12825912.49","-","-"
"DAI","6156076.09352163","7580166.12648138","7549036.34424546","8814660.27464259","4346650.9844221","2850969.91675732","2859938.74847603","7580166.12648138","6156076.09352163","-","0.81213","-1424090.03295976",0.999836,"-1423856.48","-","-"
"wBTC","140.05266466","375.65390279","375.57411028","6091953.91128438","139.85861923","162.69796778","162.70228184","375.654175","139.85861924","-","0.37231","-235.79555576",21282,"-5018201.02","-","-"
"ICHI","652314.130954453","919031.293482661","918686.590968459","2310478.52269381","255730.36813326","151669.717236063","151689.02129771","919031.293482661","652314.130954453","-","0.70978","-266717.162528208",4.39,"-1170888.34","-","-"
"ETH","9966.86709695416","17946.5804511694","17908.9237326518","24176155.2616638","9968.25592109683","7801.17232737006","7812.76347067517","17946.5804511694","9968.25592109683","-","0.55544","-7978.32453007261",1185.94,"-9461814.19","-","-"
"USDC","1169283.121261","2466180.80195","2463834.678353","1959296.46561513","961139.927008","2248363.293233","2248709.168051","2466180.80195","1169283.121261","-","0.47413","-1296897.680689",0.999439,"-1296170.12","-","-"
"vBNT","3936757.96782986","3984269.39691566","3968474.06351757","1251644.28794822","1546692.18187094","504909.696991266","506497.986430396","3984439.11014192","3920837.25089093","-","0.98404","-63601.8592509833",0.392836,"-24985.10","-","-"
"WOO","5971236.86083554","8012313.59847034","8008869.24599344","1819207.17149391","4786210.71010791","2300151.34094683","2300591.79231296","8012313.59847034","5980048.47085934","-","0.74636","-2032265.12761101",0.184249,"-374442.82","-","-"
"wNXM","11549.361082976","22083.9857000595","21955.3613212865","399358.198541829","11671.6668197381","2983.45798655004","2988.2792953679","22084.1786961115","11671.6668197381","-","0.52851","-10412.5118763734",16.91,"-176075.58","-","-"
"TRAC","308013.193568021","315399.092461547","314801.815209645","125243.120741616","308013.193568021","-","-","315399.092461547","308013.193568021","-","0.97658","-7385.89889352627",0.202483,"-1495.52","-","-"
"HOT","239602372.737261","306797823.301414","306755934.769754","29567.0642206696","6888330.03926894","-","-","306797823.301414","239602372.737261","-","0.78098","-67195450.5641532",0.00213184,"-143249.95","-","-"
"PHTR","15120260.1114575","15177804.0217729","15176812.0537952","22922.4024461057","389463.6718856","-","-","15177804.0217729","15120260.1114575","-","0.99621","-57543.9103153295",0.02636731,"-1517.28","-","-"
