"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals"
"LINK","3182886.82779171","5753496.64559133","5733137.39257271","41152820.3635956","3182886.82779171","2988733.72400521","2998069.56979294"
"BNT","106281299.733655","64289089.4778416","64022843.9092774","-","-","7523158.77474677","7547737.2536394"
"DAI","10781168.3956592","13091423.4859439","13049660.0316885","8478791.41807403","4504138.82092256","8821552.88738841","8847429.51370835"
"wBTC","138.50182134","370.43993098","370.41080348","5524826.99352088","138.50182133","209.83235527","209.83802031"
"ICHI","640890.439203333","833943.910312532","833792.743784163","2229175.53860027","264791.990032431","156569.845983282","156587.206821653"
"ETH","18663.069743881","33026.1797123107","32967.2831252784","42807629.1247331","18663.069743881","23229.8813046949","23254.2967903435"
"USDC","1180512.750447","2537270.081525","2536785.74404","234979.80521977","123519.957744","2356411.235276","2356757.410095"
"vBNT","5141552.02689806","5039042.9739904","5028229.9082369","1120740.81157166","1710656.20360588","563399.987670791","564330.332338112"
"WOO","6293618.00573428","8069423.86873447","8067824.88205981","144300.744496298","378282.622021242","2975657.47620951","2976217.45442806"
"wNXM","115680.43344985","170403.341121393","170157.70215859","449977.89707736","17117.3320420491","157269.338912833","157445.309779847"
"TRAC","4120979.39429295","4173668.52652362","4171972.74691058","105819.659588406","274227.433367968","3268993.2065792","3269942.0706641"
"HOT","239783532.982905","306986502.749687","306945354.689006","29418.9220570162","6921484.2901868","-","-"
"PHTR","15101554.2110221","15177672.1968905","15176812.0537952","24052.100958933","370757.771450115","-","-"
"BAT","719405.104759794","2212031.87386237","2210413.83130546","128284.803705585","166875.215275835","114831.493812497","114896.765733996"
"BORING","37007238.4959016","43961675.9998238","43960684.4244356","24239.9607740959","1283317.32518556","-","-"
"MFG","42824348.4028617","45818803.466873","45817471.3712304","25016.3100854794","1412194.61178911","-","-"
"ENJ","952884.072211007","2528666.08619112","2525878.94003187","1063723.42875432","940184.028091769","637635.879592448","638224.9963845"
"REQ","2765927.16496684","2973330.18457614","2970373.57601482","107614.099798371","614978.272903628","1114307.17960318","1115070.18048014"
"LQTY","195877.968502752","202638.500314317","202577.243861729","29544.3153723406","14286.8592154993","-","-"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-"
"INDEX","18907.7847640361","23045.5159944835","22835.3001997939","130335.691296045","17409.5170456501","12226.6430410731","12294.4866340629"
"YFI","20.9420768876197","20.9423517306444","20.9423517306444","-","-","19.7038838784659","19.7038838784659"
"AMP","9038590.42867075","9387470.09104227","9380977.02323199","54830.1923559516","3093359.14318628","5010374.84172102","5013438.67424745"
"MATIC","206690.550776003","306667.649406445","306481.646474295","225653.667401387","206690.550776003","122246.281526973","122288.7293013"
"ANKR","574562.358777049","574622.11643965","574622.11643965","-","-","14577.5221932744","14577.5221932744"
"ROOK","365.775385691846","365.79012298267","365.79012298267","-","-","279.546357822814","279.546357822814"
