"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","bnTKN:TKN Value","Base Token Surplus/Deficit","Implied IL"
"BNT","89774801.2315671","46626281.3440879","46424593.7911545","-","-","6827628.32481636","6849973.89413354","1.00434441179692","43148519.8874792","1.92541"
"LINK","3060866.4162186","5613226.64099839","5592996.33833515","40772057.2716338","3060866.4162186","3135635.47680322","3145535.74257672","1.0036170777593","-2552360.22477979","0.54530"
"DAI","9318273.51065857","11332388.0071312","11295628.5225309","8533130.90839481","4476414.17569044","7148282.4494728","7169579.99569407","1.0032543106855","-2014114.4964726","0.82227"
"wBTC","138.69165619","370.7181059","370.68283418","5541263.79390712","138.69165618","210.70493289","210.71067874","1.00009515336764","-232.02644971","0.37412"
"ICHI","640053.233774771","839353.219963617","839201.072905803","2233361.06607081","264290.732508222","154381.049660606","154398.257250862","1.00018129988477","-199299.986188846","0.76256"
"ETH","10994.7472750687","19559.2014704364","19523.4890760034","25600467.6378892","10994.7472750687","10643.7706834162","10659.6180734969","1.00182920144519","-8564.45419536778","0.56213"
"USDC","1139183.124998","2450252.465849","2449750.714548","237057.482495529","122497.62742","2269376.205784","2269716.507709","1.00020481728938","-1311069.340851","0.46492"
"vBNT","4881685.11904263","4909931.36655511","4897351.14259903","1211698.54154147","1584551.80722117","543479.850947373","544465.836057196","1.00256878128396","-28246.2475124833","0.99425"
"WOO","6259826.17151292","8029724.13125511","8028119.87007482","284841.76684787","765100.05307328","2904205.37241786","2904751.77402422","1.00019983024746","-1769897.95974219","0.77958"
"wNXM","113310.062274641","166178.589400046","165922.68652419","872754.664582483","35420.8592595767","153992.819714749","154165.788503256","1.00154230190709","-52868.5271254049","0.68186"
"TRAC","1310722.41237907","1325129.09968342","1324515.37051698","215293.227672178","535890.241599602","421535.830185595","421662.784998107","1.00046336130188","-14406.6873043458","0.98913"
"HOT","239621244.643145","306986779.192751","306945354.689006","30126.5027164719","6759195.95042682","-","-","1.00013495725904","-67365534.549606","0.78056"
"PHTR","15101553.8610712","15177672.1998951","15176812.0537952","24052.1238561714","370757.421499256","-","-","1.00005667501824","-76118.3388239542","0.99498"
"BAT","724554.337196541","2228287.6126753","2226651.64156358","255709.081673048","334251.561091533","125469.946154634","125543.163215592","1.0007347225229","-1503733.27547875","0.32516"
"BORING","36943188.301477","43961839.819278","43960684.4244356","25516.7161519185","1219267.13076095","-","-","1.00002628245801","-7018651.51780097","0.84035"
"MFG","42824348.4028617","45818803.466873","45817471.3712304","25016.3100854794","1412194.61178911","-","-","1.00002907396682","-2994455.06401134","0.93465"
"ENJ","946975.645928811","2510263.87054832","2507481.60772123","1062574.43880847","946975.645928811","575042.177637409","575591.713104591","1.00110958454033","-1563288.22461951","0.37724"
"REQ","1800487.85397442","1922260.65005149","1920349.1992278","214524.545759256","1228028.88459055","688940.65253009","689618.224856674","1.00099536627217","-121772.796077072","0.93665"
"LQTY","195819.296153741","202639.210942688","202577.243861729","29668.9701123725","14228.1868664883","-","-","1.00030589359287","-6819.91478894733","0.96634"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-","1.00000000000000e-18","-0.00865954991816433","0.99998"
"INDEX","19775.1046215992","23047.969581237","22835.3001997939","124210.845843146","18276.8369032132","12226.6430410731","12329.8205213827","1.0093131852694","-3272.86495963775","0.85800"
"YFI","16.0009159753826","15.9888069564718","15.9888069564718","-","-","14.7503391042933","14.7503391042933","1.00000000000000e-18","0.0121090189107913","1.00076"
"AMP","5328857.69747119","5558569.89277045","5554725.16870022","55323.8627818939","3065304.77722167","1184122.98718926","1184876.18472697","1.00069215378861","-229712.195299255","0.95867"
"MATIC","210217.806713705","315262.535875216","315063.867087748","224245.966540389","208005.003459494","130828.502140426","130876.682560396","1.00063056671431","-105044.729161511","0.66680"
"ANKR","574562.358777049","574622.11643965","574622.11643965","-","-","14577.5221932744","14577.5221932744","1.00000000000000e-18","-59.7576626011258","0.99990"
"ROOK","383.949717776818","383.964634101546","383.964634101546","-","-","279.546357822814","279.546357822814","1.00000000000000e-18","-0.0149163247282206","0.99996"
"RAIL","24800.2865779095","24810.0079589461","24810.0079589461","-","-","24810.0079589461","24810.0079589461","1.00000000000000e-18","-9.72138103663376","0.99961"
"AAVE","541.041845924915","606.105555726725","605.902276419981","71399.1939436567","541.041845924915","222.657333848389","222.712441740032","1.00033549850307","-65.06370980181","0.89265"
