"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD"
"BNT","88206704.9001727","46433411.6454904","46219845.2446923","-","-","6457275.61482528","6478582.46255361","46317328.1163767","-","46317328.1163767","0.00000","-",,
"LINK","3135784.64314982","5605811.34153049","5585596.58849131","39707729.6394037","3135784.64314982","3156865.28973271","3166851.07848131","5591796.81317667","3127945.18154194","-","0.55938","-2463851.63163473",6.4,"-15768650.44"
"DAI","8160205.92202342","10050523.3680562","10016993.500859","8761026.20428828","4360635.03520389","6003153.09792337","6021240.29617423","10025397.0596361","8139805.40721836","-","0.81192","-1885591.65241769",1.002,"-1889362.84"
"wBTC","137.95485927","370.72545657","370.68283418","5571402.00238114","137.95485926","210.7241012","210.72984908","369.79864292","137.60997211","-","0.37212","-232.18867081",20166,"-4682316.74"
"ICHI","639438.219488481","839376.425645234","839201.072905803","2238917.40426605","263675.718221932","154381.049660606","154398.257250862","837277.98458112","637839.623939759","-","0.76180","-199438.360641361",4.3,"-857584.95"
"ETH","11167.8783051477","19446.184717581","19410.1359751926","24916333.2541069","11167.8783051477","10438.9036840617","10454.4301551545","19397.569255787","11139.9586093849","-","0.57430","-8257.61064640214",1118.76,"-9238284.49"
"USDC","1137188.062341","2450289.895065","2449750.714548","241098.511664332","120502.564763","2269376.205784","2269716.507709","2444164.170327","1134345.092184","-","0.46410","-1309819.078143",1.001,"-1311128.90"
"vBNT","4849303.8117113","4910642.41447616","4897351.14259903","1237777.75190916","1552170.49988984","544721.70783852","545711.063312667","4898365.80843997","4837180.55218202","-","0.98751","-61185.2562579505",0.386574,"-23652.63"
"WOO","6282987.74209322","8039939.76218179","8038288.50981924","279528.78431441","779759.063357006","2905537.85070074","2906084.51857656","8019839.91277634","6267280.27273798","-","0.78147","-1752559.64003835",0.180167,"-315753.41"
"wNXM","79354.1259176351","115938.255583155","115758.796089835","862990.703419728","35826.4121922059","104841.905096448","104960.230538337","115648.409944197","79155.740602841","-","0.68445","-36492.669341356",11.81,"-430978.42"
"TRAC","1075038.90809076","1071886.6746597","1071390.23309176","209677.077177775","550489.533684951","200885.690576235","200951.578789512","1069206.95797305","1069206.95797305","-","1.00000","-",,
"HOT","239621244.643145","306986779.192751","306945354.689006","30126.5027164719","6759195.95042682","-","-","306219312.244769","239022191.531537","-","0.78056","-67197120.713232",0.00219404,"-147433.17"
