"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals"
"LINK","3193756.575189135438945505","5833008.693111895051926003","5812429.764076023225680681","42123142.528925829273552900","3193756.575189135438945504","3001425.552301043594577700","3010760.816847449132217000"
"BNT","106803591.593971550354090689","64885749.793355991586210785","64622767.098783483934281573","","","7707456.777282824963521500","7732442.534371863871875000"
"DAI","11022420.612900564520668036","13317519.681299998262202827","13275918.011269852767310270","8375141.918208607094398359","4558641.087834035252823673","8951985.278323834057000000","8978161.586566011890680000"
"wBTC","135.34083549","368.74209007","368.71762287","5291364.689641498622812720","135.34083549","219.29051561","219.29624053"
"ICHI","572789.186066714","721147.872809762","721017.152483100","2229175.538600273864046777","264791.990032431","156569.845983282","156587.206821653"
"ETH","18981.598004872041658834","33364.561067716781828870","33305.701450088976675039","42921145.153134290698256131","18981.598004872041658833","23433.238744999129195654","23457.827379930252701024"
"USDC","1183481.297523","2537238.271751","2536785.744040","229394.462042393803372214","126488.504820","2356268.808173","2356614.957180"
"vBNT","5183347.742509248046664401","5031649.051862063282712327","5021505.232351148568706471","1089386.411399542195775949","1759188.724760438750038363","534138.540872048540080000","535005.983862994112040000"
"WOO","6280237.446984228778797596","8045561.428972435240542972","8043977.824008640906551936","72912.884520764901999450","187379.518277718835925551","2944640.653288601106400000","2945194.502211963347400000"
"wNXM","114720.737626218656914021","169809.797359813549342936","169568.533264838787502384","470769.093757420534763898","16347.885567426427808729","156680.170019081944004000","156855.302609693705427000"
"TRAC","4120006.165946488657052609","4173668.526523618718705048","4171972.746910581243474499","106190.119722138470642375","273254.205021511064887777","3268993.206579200282000000","3269942.070664100703000000"
"HOT","239783532.982905116484809675","306986502.749687397333571323","306945354.689006011348721926","29418.922057016221690694","6921484.290186802649234681",,
"PHTR","15107418.281274458630421907","15177621.848812593923520938","15176812.053795244679479100","23674.389950000636962327","376621.841702521741151278",,
"BAT","710469.655929625973016433","2182604.424328702154973959","2181007.907169441503417237","129208.658890411633194546","165676.947706151075724861","90270.340076810772600000","90317.633015628679900000"
"BORING","37007238.495901612333690119","43961675.999823833782536261","43960684.424435626732710250","24239.960774095924356142","1283317.325185555107133601",,
"MFG","42824348.402861664998275583","45818803.466873003126061000","45817471.371230394053915468","25016.310085479370167373","1412194.611789113863707276",,
"ENJ","961713.775902813914469720","2482227.215706629222108920","2479615.623110710834545603","1039734.408224608079217724","961713.775902813914469719","365241.355089659513200000","365540.624307237964740000"
"REQ","2749751.870355999188207517","2969466.957017668132732082","2966514.189957616690967677","109793.604622684145800476","602666.183364529893691709","1114307.179603183148600000","1115070.180480137527500000"
"LQTY","196441.335797041183824143","202636.836874333912114989","202577.243861729250827434","28418.707591542737640247","14850.226509788700163576",,
"MTA","503.943470259205681526","503.952129809123845855","503.952129809123845855","0.000000000000000000","0.000000000000000000",,
"INDEX","19145.330424736186207733","23043.387942643578092356","22835.300199793940956742","128557.374387462146509648","17647.062706350207482447","12226.643041073138260000","12294.486634062925780000"
"YFI","20.942076887619733789","20.942351730644374007","20.942351730644374007","0.000000000000000000","0.000000000000000000","19.703883878465900000","19.703883878465900000"
"AMP","11331637.828064506690086145","11796144.436231186568534045","11787985.389620660445825721","54846.211342087550727381","3092620.779958426932469340","7911783.650399087450000000","7916599.614506193450000000"
"MATIC","204692.305588175203921621","305883.835656505440165227","305703.204171504281244342","130727.266047111574954609","117350.390683043661693592","119603.613603319641200000","119644.486489299590050000"
"ANKR","574562.358777048579278798","574622.116439649705049209","574622.116439649705049209","0.000000000000000000","0.000000000000000000","14577.522193274358000000","14577.522193274358000000"
"ROOK","264.450735846754229813","264.452147647092986831","264.452147647092986831","0.000000000000000000","0.000000000000000000","178.208382487237481500","178.208382487237481500"
"RAIL","24800.286577909491038081","24810.007958946124797425","24810.007958946124797425","0.000000000000000000","0.000000000000000000","24810.007958946125000000","24810.007958946125000000"
"AAVE","564.016854700878597003","632.689191614761953787","632.492145703348067917","53443.658431008861064122","409.260459107780875599","249.247203131755844000","249.304496333387915000"
"MPH","42338.828689420668843578","44450.324418971094253312","44445.327949290931739034","49697.360313178208747115","8714.340011831009769995","6161.492333718791780000","6161.978478869121050000"
"MKR","128.093401601803970008","362.503602800412285537","362.136749127531250063","26590.468984873351652865","13.865470095971782594","332.530289008919483100","332.861364701191987900"
"DIP","3886764.830793888419084101","5203084.925980788638106980","5200741.183864808497816747","102976.231725290179432030","2639418.556035689010231534","2809615.038814074320000000","2810690.055557659860000000"
"MANA","194234.822912901958717616","198497.470564091786591306","198491.249023052621687635","24898.957576965529239604","13238.827086523012218086","197702.192059334283770000","197706.205626830737120000"
"QNT","2869.451238448186735492","5151.484760981647716141","5149.673583034653934623","240581.786491295489681528","2104.052636630129547209","3188.658477464287947000","3189.519159982736474000"
"NMR","46.261925470093450391","46.271069113538058754","46.271069113538058754","0.000000000000000000","0.000000000000000000","46.271069113538060000","46.271069113538060000"
"SNX","28839.173978133650940497","37707.908965765693986087","37449.720066434994456092","139549.528171324997076263","26169.269429150420013414","19193.735447883764830000","19305.704313501240480000"
"LPL","188841.024556063478963950","253338.899887097630561220","252455.108791063071093904","577316.954446579011576913","102682.376931413579101970","50223.210925980037300000","50309.183111563524500000"
"PSP","63169.650346929057243333","63161.561940026775465257","63161.561940026775465257","0.000000000000000000","0.000000000000000000",,
"LYRA","1648860.385333830792716328","1649252.147553981573846875","1649252.147553981573846875","0.000000000000000000","0.000000000000000000","1649252.147553981600000000","1649252.147553981600000000"
